Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3870.55761979249
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,60729.4503486794
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7158.76668372256
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3526.27457939624
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1547.51138764424
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3301.21860257673
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,10412.3476677499
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2608.98283307549
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1450.66267347182
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,27442.95382794
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1442.73073825015
